index_date,close,high,low
2021-12-19,46707.015625,48089.6640625,46502.953125
2021-12-20,46880.27734375,47401.71875,45579.80859375
2021-12-21,48936.61328125,49300.91796875,46698.7734375
2021-12-22,48628.51171875,49544.796875,48450.94140625
2021-12-23,50784.5390625,51332.33984375,48065.8359375
2021-12-24,50822.1953125,51814.02734375,50514.49609375
2021-12-25,50429.859375,51176.59765625,50236.70703125
2021-12-26,50809.515625,51196.37890625,49623.10546875
2021-12-27,50640.41796875,51956.328125,50499.46875
2021-12-28,47588.85546875,50679.859375,47414.2109375
2021-12-29,46444.7109375,48119.7421875,46201.49609375
2021-12-30,47178.125,47879.96484375,46060.3125
2021-12-31,46306.4453125,48472.52734375,45819.953125
2022-01-01,47686.8125,47827.3125,46288.484375
2022-01-02,47345.21875,47881.40625,46856.9375
2022-01-03,46458.1171875,47510.7265625,45835.96484375
2022-01-04,45897.57421875,47406.546875,45752.46484375
2022-01-05,43569.00390625,46929.046875,42798.22265625
2022-01-06,43160.9296875,43748.71875,42645.5390625
2022-01-07,41557.90234375,43153.5703125,41077.4453125
2022-01-08,41733.94140625,42228.94140625,40672.27734375
2022-01-09,41911.6015625,42663.94921875,41338.16015625
2022-01-10,41821.26171875,42199.484375,39796.5703125
2022-01-11,42735.85546875,43001.15625,41407.75390625
2022-01-12,43949.1015625,44135.3671875,42528.98828125
2022-01-13,42591.5703125,44278.421875,42447.04296875
2022-01-14,43099.69921875,43346.6875,41982.6171875
2022-01-15,43177.3984375,43724.671875,42669.03515625
2022-01-16,43113.87890625,43436.80859375,42691.0234375
2022-01-17,42250.55078125,43179.390625,41680.3203125
2022-01-18,42375.6328125,42534.40234375,41392.21484375
2022-01-19,41744.328125,42478.3046875,41242.9140625
2022-01-20,40680.41796875,43413.0234375,40672.82421875
2022-01-21,36457.31640625,41060.52734375,35791.42578125
2022-01-22,35030.25,36688.8125,34349.25
2022-01-23,36276.8046875,36433.3125,34784.96875
2022-01-24,36654.328125,37247.51953125,33184.05859375
2022-01-25,36954.00390625,37444.5703125,35779.4296875
2022-01-26,36852.12109375,38825.41015625,36374.90625
2022-01-27,37138.234375,37148.32421875,35629.28125
2022-01-28,37784.33203125,37952.87890625,36211.109375
2022-01-29,38138.1796875,38576.26171875,37406.47265625
2022-01-30,37917.6015625,38266.33984375,37437.7109375
2022-01-31,38483.125,38647.26171875,36733.57421875
2022-02-01,38743.2734375,39115.1328125,38113.6640625
2022-02-02,36952.984375,38834.6171875,36832.73046875
