index_date,btc_usd_observed,btc_usd_fitted,btc_usd_predicted,std_error,ci_95_lower,ci_95_upper
2021-07-02,33897.046875,31602.816787822434,,,,
2021-07-03,34668.546875,36254.88867279765,,,,
2021-07-04,35287.78125,35011.34593236521,,,,
2021-07-05,33746.00390625,32724.13778409959,,,,
2021-07-06,34235.1953125,36250.438586048585,,,,
2021-07-07,33855.328125,34081.54148021442,,,,
2021-07-08,32877.37109375,32146.29519131633,,,,
2021-07-09,33798.01171875,31932.13306097449,,,,
2021-07-10,33520.51953125,35370.373523350194,,,,
2021-07-11,34240.1875,33699.485885267124,,,,
2021-07-12,33155.84765625,33529.574347480615,,,,
2021-07-13,32702.025390625,32547.709835483,,,,
2021-07-14,32822.34765625,33100.440726226036,,,,
2021-07-15,31780.73046875,32796.46529927073,,,,
2021-07-16,31421.5390625,32143.855971579003,,,,
2021-07-17,31533.068359375,30768.36088346771,,,,
2021-07-18,31796.810546875,32627.1980254451,,,,
2021-07-19,30817.83203125,32422.264208191733,,,,
2021-07-20,29807.34765625,29261.681112908194,,,,
2021-07-21,32110.693359375,31133.28367573045,,,,
2021-07-22,32313.10546875,30101.39211483497,,,,
2021-07-23,33581.55078125,33165.98100745981,,,,
2021-07-24,34292.4453125,33564.397683805786,,,,
2021-07-25,35350.1875,34675.466700196055,,,,
2021-07-26,37337.53515625,36897.60460214964,,,,
2021-07-27,39406.94140625,33520.376222197134,,,,
2021-07-28,39995.90625,41148.24543735729,,,,
2021-07-29,40008.421875,41330.65870185124,,,,
2021-07-30,42235.546875,41469.89849856349,,,,
2021-07-31,41626.1953125,42676.013464490876,,,,
2021-08-01,39974.89453125,41890.53946205525,,,,
2021-08-02,39201.9453125,38764.46606600125,,,,
2021-08-03,38152.98046875,43733.219920176314,,,,
2021-08-04,39747.50390625,39135.49508933027,,,,
2021-08-05,40869.5546875,39532.28792193822,,,,
2021-08-06,42816.5,44951.24904018257,,,,
2021-08-07,44555.80078125,42644.645630075414,,,,
2021-08-08,43798.1171875,42428.3084589358,,,,
2021-08-09,46365.40234375,44530.45492240077,,,,
2021-08-10,45585.03125,47810.653353359,,,,
2021-08-11,45593.63671875,46740.12837525226,,,,
2021-08-12,44428.2890625,45552.53866810934,,,,
2021-08-13,47793.3203125,47261.826162780206,,,,
2021-08-14,47096.9453125,48691.80965603905,,,,
2021-08-15,47047.00390625,46187.082859463895,,,,
2021-08-16,46004.484375,50159.44623144266,,,,
2021-08-17,44695.359375,43448.59872225417,,,,
2021-08-18,44801.1875,43784.26601956279,,,,
2021-08-19,46717.578125,45906.16174832621,,,,
2021-08-20,49339.17578125,50174.041713263665,,,,
2021-08-21,48905.4921875,48785.47496701041,,,,
2021-08-22,49321.65234375,48564.2476076155,,,,
2021-08-23,49546.1484375,49558.51319711178,,,,
2021-08-24,47706.1171875,45815.31450565266,,,,
2021-08-25,48960.7890625,48149.530216731735,,,,
2021-08-26,46942.21875,50346.753378987225,,,,
2021-08-27,49058.66796875,48766.001609479965,,,,
2021-08-28,48902.40234375,49257.32799968457,,,,
2021-08-29,48829.83203125,50272.62073135953,,,,
2021-08-30,47054.984375,46357.19312945151,,,,
2021-08-31,47166.6875,46934.177615870234,,,,
2021-09-01,48847.02734375,48686.45381252875,,,,
2021-09-02,49327.72265625,47717.52914492997,,,,
2021-09-03,50025.375,50239.929439226384,,,,
2021-09-04,49944.625,49307.10176700109,,,,
2021-09-05,51753.41015625,51307.098686221165,,,,
2021-09-06,52633.53515625,49828.72194251641,,,,
2021-09-07,46811.12890625,49239.37474406714,,,,
2021-09-08,46091.390625,50281.682334403326,,,,
2021-09-09,46391.421875,46148.921694601384,,,,
2021-09-10,44883.91015625,45644.53525683503,,,,
2021-09-11,45201.45703125,44890.57731525888,,,,
2021-09-12,46063.26953125,46552.49990954061,,,,
2021-09-13,44963.07421875,46665.06063923369,,,,
2021-09-14,47092.4921875,43508.185690720224,,,,
2021-09-15,48176.34765625,45461.26175928275,,,,
2021-09-16,47783.359375,45892.272307543884,,,,
2021-09-17,47267.51953125,47952.2862963189,,,,
2021-09-18,48278.36328125,48526.72240936821,,,,
2021-09-19,47260.21875,47929.37764616341,,,,
2021-09-20,42843.80078125,45583.952434282,,,,
2021-09-21,40693.67578125,42491.17166140669,,,,
2021-09-22,43574.5078125,42063.338648615936,,,,
2021-09-23,44895.09765625,44298.888755708846,,,,
2021-09-24,42839.75,42019.996167878206,,,,
2021-09-25,42716.59375,44040.15268089915,,,,
2021-09-26,43208.5390625,43158.57393625319,,,,
2021-09-27,42235.73046875,40418.908819261334,,,,
2021-09-28,41034.54296875,39646.96468131238,,,,
2021-09-29,41564.36328125,42520.705289695594,,,,
2021-09-30,43790.89453125,44521.9449091971,,,,
2021-10-01,48116.94140625,44228.716642893974,,,,
2021-10-02,47711.48828125,46324.525300046145,,,,
2021-10-03,48199.953125,47067.563937978535,,,,
2021-10-04,49112.90234375,45441.74673482851,,,,
2021-10-05,51514.8125,51488.78461662179,,,,
2021-10-06,55361.44921875,53470.366067887764,,,,
2021-10-07,53805.984375,56335.6707151871,,,,
2021-10-08,53967.84765625,57302.102679339456,,,,
2021-10-09,54968.22265625,53316.6932858398,,,,
2021-10-10,54771.578125,55679.33045124005,,,,
2021-10-11,57484.7890625,56615.002203410135,,,,
2021-10-12,56041.05859375,57035.68081558158,,,,
2021-10-13,57401.09765625,59858.25036038913,,,,
2021-10-14,57321.5234375,58243.455263882875,,,,
2021-10-15,61593.94921875,59162.79990508502,,,,
2021-10-16,60892.1796875,61906.14389826606,,,,
2021-10-17,61553.6171875,60350.22873775097,,,,
2021-10-18,62026.078125,66952.20487845251,,,,
2021-10-19,64261.9921875,63894.97798101419,,,,
2021-10-20,65992.8359375,65674.78760572025,,,,
2021-10-21,62210.171875,61786.65985227553,,,,
2021-10-22,60692.265625,65091.54898113595,,,,
2021-10-23,61393.6171875,63160.62229613713,,,,
2021-10-24,60930.8359375,62255.179651050195,,,,
2021-10-25,63039.82421875,62660.71148712366,,,,
2021-10-26,60363.79296875,61768.65666480602,,,,
2021-10-27,58482.38671875,61529.40098580444,,,,
2021-10-28,60622.13671875,57316.850267166716,,,,
2021-10-29,62227.96484375,60053.591038663864,,,,
2021-10-30,61888.83203125,61602.95061737909,,,,
2021-10-31,61318.95703125,61790.63440259776,,,,
2021-11-01,61004.40625,61155.297052120724,,,,
2021-11-02,63226.40234375,61603.09571837802,,,,
2021-11-03,62970.046875,59781.256421711565,,,,
2021-11-04,61452.23046875,63344.65999530171,,,,
2021-11-05,61125.67578125,63055.96259001837,,,,
2021-11-06,61527.48046875,60173.403234986356,,,,
2021-11-07,63326.98828125,61582.99433377093,,,,
2021-11-08,67566.828125,63888.55342234588,,,,
2021-11-09,66971.828125,67553.05146044104,,,,
2021-11-10,64995.23046875,66095.40760768024,,,,
2021-11-11,64949.9609375,64335.67893634363,,,,
2021-11-12,64155.94140625,63232.56767125808,,,,
2021-11-13,64469.52734375,66314.81201975516,,,,
2021-11-14,65466.83984375,64349.04779963255,,,,
2021-11-15,63557.87109375,67656.08353743485,,,,
2021-11-16,60161.24609375,61939.50222594253,,,,
2021-11-17,60368.01171875,60325.56093673054,,,,
2021-11-18,56942.13671875,60270.78020018099,,,,
2021-11-19,58119.578125,55172.154528921885,,,,
2021-11-20,59697.1953125,58962.30224723292,,,,
2021-11-21,58730.4765625,61415.42454379436,,,,
2021-11-22,56289.2890625,56769.20974031978,,,,
2021-11-23,57569.07421875,55952.07140521842,,,,
2021-11-24,56280.42578125,57288.35227198842,,,,
2021-11-25,57274.6796875,53585.77329975913,,,,
2021-11-26,53569.765625,55315.246151831976,,,,
2021-11-27,54815.078125,53269.940055044426,,,,
2021-11-28,57248.45703125,56679.58319635277,,,,
2021-11-29,57806.56640625,57017.44719539884,,,,
2021-11-30,57005.42578125,55997.892703345584,,,,
2021-12-01,57229.828125,54503.19169968098,,,,
2021-12-02,56477.81640625,54876.05674595064,,,,
2021-12-03,53598.24609375,57123.44301932253,,,,
2021-12-04,49200.703125,51762.42530931195,,,,
2021-12-05,49368.84765625,52593.16127927647,,,,
2021-12-06,50582.625,47282.79118839649,,,,
2021-12-07,50700.0859375,51274.57296015649,,,,
2021-12-08,50504.796875,48867.97960068683,,,,
2021-12-09,47672.12109375,51103.46540068131,,,,
2021-12-10,47243.3046875,45675.736448137664,,,,
2021-12-11,49362.5078125,46145.95567870447,,,,
2021-12-12,50098.3359375,45963.71773075794,,,,
2021-12-13,46737.48046875,50321.65903020472,,,,
2021-12-14,46612.6328125,49056.98691493631,,,,
2021-12-15,48896.72265625,49214.48367150122,,,,
2021-12-16,47665.42578125,46394.18836773935,,,,
2021-12-17,46202.14453125,43271.81880682991,,,,
2021-12-18,46848.77734375,49386.24391019707,,,,
2021-12-19,46707.015625,46452.378270432164,,,,
2021-12-20,46880.27734375,44029.78888259927,,,,
2021-12-21,48936.61328125,46873.38093553797,,,,
2021-12-22,48628.51171875,52509.40046327718,,,,
2021-12-23,50784.5390625,47316.72092650173,,,,
2021-12-24,50822.1953125,49860.21042268948,,,,
2021-12-25,50429.859375,50821.45190331979,,,,
2021-12-26,50809.515625,50115.63915968661,,,,
2021-12-27,50640.41796875,52455.205694216216,,,,
2021-12-28,47588.85546875,48484.60557145385,,,,
2021-12-29,46444.7109375,47566.48519511812,,,,
2021-12-30,47178.125,49635.22667341105,,,,
2021-12-31,46306.4453125,48103.51408628213,,,,
2022-01-01,47686.8125,46166.9744165588,,,,
2022-01-02,47345.21875,48822.64383145481,,,,
2022-01-03,46458.1171875,46795.24330825501,,,,
2022-01-04,45897.57421875,46067.00306408957,,,,
2022-01-05,43569.00390625,42423.41452299298,,,,
2022-01-06,43160.9296875,44984.12309104482,,,,
2022-01-07,41557.90234375,43258.6241217547,,,,
2022-01-08,41733.94140625,42692.596100554176,,,,
2022-01-09,41911.6015625,41863.15155067969,,,,
2022-01-10,41821.26171875,39987.12434232347,,,,
2022-01-11,42735.85546875,42121.09062106205,,,,
2022-01-12,43949.1015625,41072.859696864,,,,
2022-01-13,42591.5703125,42708.73673798741,,,,
2022-01-14,43099.69921875,40360.434013831094,,,,
2022-01-15,43177.3984375,44444.05143487861,,,,
2022-01-16,43113.87890625,43258.137628743236,,,,
2022-01-17,42250.55078125,42810.505414963445,,,,
2022-01-18,42375.6328125,41107.75406749451,,,,
2022-01-19,41744.328125,43129.29699950952,,,,
2022-01-20,40680.41796875,41180.10720796971,,,,
2022-01-21,36457.31640625,37677.767282206,,,,
2022-01-22,35030.25,35133.36394578587,,,,
2022-01-23,36276.8046875,37011.00364450156,,,,
